,0
0,C00002
1,C00003
2,C00004
3,C00005
4,C00006
5,C00007
6,C00008
7,C00011
8,C00022
9,C00024
10,C00026
11,C00036
12,C00042
13,C00074
14,C00091
15,C00111
16,C00118
17,C00122
18,C00149
19,C00158
20,C00197
21,C00236
22,C00267
23,C00311
24,C00417
25,C00631
26,C00668
27,C05345
28,C05378
29,C05379
