,Glucose,Lac,Glutamate,Ammonia
0,,,inf,inf
1,1.0,0.0,100.0,91.434674
2,1.0,0.0,50.0,45.6333635
3,1.0,0.0,33.333333333333336,30.366259666666664
4,1.0,0.0,25.0,22.73270775
5,1.0,0.0,20.0,18.1525768
6,1.0,0.0,16.666666666666668,15.099156
7,1.0,0.0,14.285714285714286,12.918141285714286
8,1.0,0.0,12.5,11.282380125
9,1.0,0.0,11.11111111111111,10.010121555555555
10,1.0,0.0,10.0,8.9923146
11,1.0,0.0,9.090909090909092,8.159563454545454
12,1.0,0.0,8.333333333333334,7.465604249999999
13,1.0,0.0,7.6923076923076925,6.878407923076923
14,1.0,0.0,7.142857142857143,6.375096857142857
15,1.0,0.0,6.666666666666667,5.938893866666667
16,1.0,0.0,6.25,5.5572163125
17,1.0,0.0,5.882352941176471,5.22044194117647
18,1.0,0.0,5.555555555555555,4.921086944444444
19,1.0,0.0,5.2631578947368425,4.653243052631579
20,1.0,0.0,5.0,4.412183499999999
21,1.0,0.0,4.761904761904762,4.194082047619047
22,1.0,0.0,4.545454545454546,3.995807954545455
23,1.0,0.0,4.3478260869565215,3.8147751304347826
24,1.0,0.0,4.166666666666667,3.648828333333333
25,1.0,0.0,4.0,3.49615728
26,1.0,0.0,3.8461538461538463,3.355230192307692
27,1.0,0.0,3.7037037037037037,3.2247421111111114
28,1.0,0.0,3.5714285714285716,3.103574642857143
29,1.0,0.0,3.4482758620689653,2.9907635172413793
30,1.0,0.0,3.3333333333333335,2.8854731666666664
31,1.0,0.0,3.225806451612903,2.7869757096774195
32,1.0,0.0,3.125,2.69463434375
33,1.0,0.0,3.0303030303030303,2.6078894545454543
34,1.0,0.0,2.9411764705882355,2.526247176470588
35,1.0,0.0,2.857142857142857,2.4492702
36,1.0,0.0,2.7777777777777777,2.3765696944444445
37,1.0,0.0,2.7027027027027026,2.307798972972973
38,1.0,0.0,2.6315789473684212,2.2426477368421054
39,1.0,0.0,2.5641025641025643,2.180837615384615
40,1.0,0.0,2.5,2.122117975
41,1.0,0.0,2.4390243902439024,2.066262707317073
42,1.0,0.0,2.380952380952381,2.013067238095238
43,1.0,0.0,2.3255813953488373,1.962345953488372
44,1.0,0.0,2.272727272727273,1.9139302045454547
45,1.0,0.0,2.2222222222222223,1.8676662444444445
46,1.0,0.0,2.1739130434782608,1.8234137826086956
47,1.0,0.0,2.127659574468085,1.7810443829787235
48,1.0,0.0,2.0833333333333335,1.7404403750000002
49,1.0,0.0,2.0408163265306123,1.7014936938775511
50,1.0,0.0,2.0,1.66410486
51,1.0,0.0,1.9607843137254901,1.6281822745098038
52,1.0,0.0,1.9230769230769231,1.5936413076923077
53,1.0,0.0,1.8867924528301887,1.5604037924528302
54,1.0,0.0,1.8518518518518519,1.5283972777777777
55,1.0,0.0,1.8181818181818181,1.4975546363636363
56,1.0,0.0,1.7857142857142858,1.4678135357142856
57,1.0,0.0,1.7543859649122806,1.4391159649122809
58,1.0,0.0,1.7241379310344827,1.4114079827586206
59,1.0,0.0,1.694915254237288,1.3846392372881355
60,1.0,0.0,1.6666666666666667,1.3587628
61,1.0,0.0,1.639344262295082,1.3337347540983606
62,1.0,0.0,1.6129032258064515,1.309514064516129
63,1.0,0.0,1.5873015873015872,1.2860623015873016
64,1.0,0.0,1.5625,1.263343390625
65,1.0,0.0,1.5384615384615385,1.2413235384615384
66,1.0,0.0,1.5151515151515151,1.2199709393939395
67,1.0,0.0,1.492537313432836,1.1992557462686566
68,1.0,0.0,1.4705882352941178,1.1791498088235295
69,1.0,0.0,1.4492753623188406,1.1596266666666666
70,1.0,0.0,1.4285714285714286,1.1406613142857143
71,1.0,0.0,1.408450704225352,1.1222301971830986
72,1.0,0.0,1.3888888888888888,1.1043110694444445
73,1.0,0.0,1.36986301369863,1.0868828630136986
74,1.0,0.0,1.3513513513513513,1.0699257027027027
75,1.0,0.0,1.3333333333333333,1.0534207199999999
76,1.0,0.0,1.3157894736842106,1.0373500921052632
77,1.0,0.0,1.2987012987012987,1.02169687012987
78,1.0,0.0,1.2820512820512822,1.006445012820513
79,1.0,0.0,1.2658227848101267,0.9915792911392406
80,1.0,0.0,1.25,0.9770852
81,1.0,0.0,1.2345679012345678,0.9629489999999999
82,1.0,0.0,1.2195121951219512,0.9491575731707318
83,1.0,0.0,1.2048192771084338,0.9356984819277109
84,1.0,0.0,1.1904761904761905,0.9225598333333332
85,1.0,0.0,1.1764705882352942,0.9097303294117647
86,1.0,0.0,1.1627906976744187,0.8971991976744186
87,1.0,0.0,1.1494252873563218,0.8849561264367817
88,1.0,0.0,1.1363636363636365,0.8729913181818181
89,1.0,0.0,1.1235955056179776,0.8612953707865169
90,1.0,0.0,1.1111111111111112,0.8498593444444444
91,1.0,0.0,1.098901098901099,0.8386746483516484
92,1.0,0.0,1.0869565217391304,0.827733097826087
93,1.0,0.0,1.075268817204301,0.8170268602150538
94,1.0,0.0,1.0638297872340425,0.8065484042553192
95,1.0,0.0,1.0526315789473684,0.7966622526315789
96,1.0,0.0,1.0416666666666667,0.7870646979166667
97,1.0,0.0,1.0309278350515463,0.7776650309278351
98,1.0,0.0,1.0204081632653061,0.7684571938775511
99,1.0,0.0,1.0101010101010102,0.7594353737373737
100,1.0,0.0,1.0,0.75059399
101,1.0,0.0,0.9900990099009901,0.7419276831683168
102,1.0,0.0,0.9803921568627451,0.7334313039215686
103,1.0,0.0,0.970873786407767,0.7250999029126213
104,1.0,0.0,0.9615384615384616,0.7169287211538461
105,1.0,0.0,0.9523809523809523,0.708913180952381
106,1.0,0.0,0.9433962264150944,0.7010488773584906
107,1.0,0.0,0.9345794392523364,0.6933315700934579
108,1.0,0.0,0.9259259259259259,0.6857571759259259
109,1.0,0.0,0.9174311926605505,0.6783217614678899
110,1.0,0.0,0.9090909090909091,0.6710215363636364
111,1.0,0.0,0.9009009009009009,0.6638528468468468
112,1.0,0.0,0.8928571428571429,0.6568121696428572
113,1.0,0.0,0.8849557522123894,0.6498961061946903
114,1.0,0.0,0.8771929824561403,0.6431013771929824
115,1.0,0.0,0.8695652173913043,0.6364248173913044
116,1.0,0.0,0.8620689655172413,0.6298633706896551
117,1.0,0.0,0.8547008547008547,0.6234140854700855
118,1.0,0.0,0.847457627118644,0.6170741101694915
119,1.0,0.0,0.8403361344537815,0.6108406890756303
120,1.0,0.0,0.8333333333333334,0.6047111583333333
121,1.0,0.0,0.8264462809917356,0.5986829421487603
122,1.0,0.0,0.819672131147541,0.5927535491803279
123,1.0,0.0,0.8130081300813008,0.5869205691056911
124,1.0,0.0,0.8064516129032258,0.5811816693548386
125,1.0,0.0,0.8,0.575534592
126,1.0,0.0,0.7936507936507936,0.5699771507936507
127,1.0,0.0,0.7874015748031497,0.5645072283464567
128,1.0,0.0,0.78125,0.5591227734375
129,1.0,0.0,0.7751937984496124,0.5538217984496123
130,1.0,0.0,0.7692307692307693,0.5486023769230769
131,1.0,0.0,0.7633587786259542,0.5434626412213741
132,1.0,0.0,0.7575757575757576,0.5384007803030304
133,1.0,0.0,0.7518796992481203,0.5334150375939849
134,1.0,0.0,0.746268656716418,0.5285037089552239
135,1.0,0.0,0.7407407407407407,0.5236651407407408
136,1.0,0.0,0.7352941176470589,0.5188977279411765
137,1.0,0.0,0.7299270072992701,0.5141999124087591
138,1.0,0.0,0.7246376811594203,0.5095701811594203
139,1.0,0.0,0.7194244604316546,0.5050070647482015
140,1.0,0.0,0.7142857142857143,0.5005091357142858
141,1.0,0.0,0.7092198581560284,0.49607500709219854
142,1.0,0.0,0.704225352112676,0.49170333098591545
