,R01049,R00268,R00351,R02740
3.7313432835820897,24.051848,0.0,0.0,58.479417
3.7037037037037037,24.051848,0.0,0.0,59.479417
3.676470588235294,24.051848,0.0,0.0,60.479417
3.6496350364963503,24.051848,0.0,0.0,61.479417
3.6231884057971016,24.051848,0.0,0.0,62.479417
3.597122302158273,24.051848,0.0,0.0,63.479417
3.5714285714285716,24.051848,0.0,0.0,64.479417
3.5460992907801416,24.051848,0.0,0.0,65.479417
3.5211267605633805,24.051848,0.0,0.0,66.479417
3.4965034965034967,24.051848,0.0,0.0,67.479417
3.4722222222222223,24.051848,0.0,0.0,68.479417
3.4482758620689653,24.051848,0.0,0.0,69.479417
3.4246575342465753,24.051848,0.0,0.0,70.479417
3.401360544217687,24.051848,0.0,0.0,71.479417
3.3783783783783785,24.051848,0.0,0.0,72.479417
3.3557046979865772,24.051848,0.0,0.0,73.479417
3.3333333333333335,24.051848,0.0,0.0,74.479417
3.3112582781456954,24.051848,0.0,0.0,75.479417
3.289473684210526,24.051848,0.0,0.0,76.479417
3.2679738562091503,24.051848,0.0,0.0,77.479417
3.2467532467532467,24.051848,0.0,0.0,78.479417
3.225806451612903,24.051848,0.0,0.0,79.479417
3.2051282051282053,24.051848,0.0,0.0,80.479417
3.1847133757961785,24.051848,0.0,0.0,81.479417
3.1645569620253164,24.051848,0.0,0.0,82.479417
3.1446540880503147,24.051848,0.0,0.0,83.479417
3.125,24.051848,0.0,0.0,84.479417
3.1055900621118013,24.051848,0.0,0.0,85.479417
3.0864197530864197,24.051848,0.0,0.0,86.479417
3.067484662576687,24.051848,0.0,0.0,87.479417
3.048780487804878,24.051848,0.0,0.0,88.479417
3.0303030303030303,24.051848,0.0,0.0,89.479417
3.0120481927710845,24.051848,0.0,0.0,90.479417
2.9940119760479043,24.051848,0.0,0.0,91.479417
2.9761904761904763,24.051848,0.0,0.0,92.479417
2.9585798816568047,24.051848,0.0,0.0,93.479417
2.9411764705882355,24.051848,0.0,0.0,94.479417
2.9239766081871346,24.051848,0.0,0.0,95.479417
2.9069767441860463,24.051848,0.0,0.0,96.479417
2.8901734104046244,24.051848,0.0,0.0,97.479417
2.8735632183908044,24.051848,0.0,0.0,98.479417
2.857142857142857,24.051848,0.0,0.0,99.479417
2.840909090909091,24.051848,0.0,0.0,100.47942
2.824858757062147,24.051848,0.0,0.0,101.47942
2.808988764044944,24.051848,0.0,0.0,102.47942
2.793296089385475,24.051848,0.0,0.0,103.47942
2.7777777777777777,24.051848,0.0,0.0,104.47942
2.7624309392265194,24.051848,0.0,0.0,105.47942
2.7472527472527473,24.051848,0.0,0.0,106.47942
2.73224043715847,24.051848,0.0,0.0,107.47942
2.717391304347826,24.051848,0.0,0.0,108.47942
2.7027027027027026,24.051848,0.0,0.0,109.47942
2.6881720430107525,24.051848,0.0,0.0,110.47942
2.6737967914438503,24.051848,0.0,0.0,111.47942
2.6595744680851063,24.051848,0.0,0.0,112.47942
2.6455026455026456,24.051848,0.0,0.0,113.47942
2.6315789473684212,24.051848,0.0,0.0,114.47942
2.6178010471204187,24.051848,0.0,0.0,115.47942
2.6041666666666665,24.051848,0.0,0.0,116.47942
2.5906735751295336,24.051848,0.0,0.0,117.47942
2.577319587628866,24.051848,0.0,0.0,118.47942
2.5641025641025643,24.051848,0.0,0.0,119.47942
2.5510204081632653,24.051848,0.0,0.0,120.47942
2.5380710659898478,24.051848,0.0,0.0,121.47942
2.525252525252525,24.051848,0.0,0.0,122.47942
2.512562814070352,24.051848,0.0,0.0,123.47942
2.5,24.051848,0.0,0.0,124.47942
2.487562189054726,24.051848,0.0,0.0,125.47942
2.4752475247524752,24.051848,0.0,0.0,126.47942
2.4630541871921183,24.051848,0.0,0.0,127.47942
2.450980392156863,24.051848,0.0,0.0,128.47942
2.4390243902439024,24.051848,0.0,0.0,129.47942
2.4271844660194173,24.051848,0.0,0.0,130.47942
2.4154589371980677,24.051848,0.0,0.0,131.47942
2.4038461538461537,24.051848,0.0,0.0,132.47942
2.3923444976076556,24.051848,0.0,0.0,133.47942
2.380952380952381,24.051848,0.0,0.0,134.47942
2.3696682464454977,24.051848,0.0,0.0,135.47942
2.358490566037736,24.051848,0.0,0.0,136.47942
2.347417840375587,24.051848,0.0,0.0,137.47942
2.336448598130841,24.051848,0.0,0.0,138.47942
2.3255813953488373,24.051848,0.0,0.0,139.47942
2.314814814814815,24.051848,0.0,0.0,140.47942
2.304147465437788,24.051848,0.0,0.0,141.47942
2.293577981651376,24.051848,0.0,0.0,142.47942
2.2831050228310503,24.051848,0.0,0.0,143.47942
2.272727272727273,24.051848,0.0,0.0,144.47942
2.262443438914027,24.051848,0.0,0.0,145.47942
2.2522522522522523,24.051848,0.0,0.0,146.47942
2.242152466367713,24.051848,0.0,0.0,147.47942
2.232142857142857,24.051848,0.0,0.0,148.47942
2.2222222222222223,24.051848,0.0,0.0,149.47942
2.2123893805309733,24.051848,0.0,0.0,150.47942
2.202643171806167,24.051848,0.0,0.0,151.47942
2.192982456140351,24.051848,0.0,0.0,152.47942
2.183406113537118,24.051848,0.0,0.0,153.47942
2.1739130434782608,24.051848,0.0,0.0,154.47942
2.1645021645021645,24.051848,0.0,0.0,155.47942
2.1551724137931036,24.051848,0.0,0.0,156.47942
2.1459227467811157,24.051848,0.0,0.0,157.47942
2.1367521367521367,24.051848,0.0,0.0,158.47942
2.127659574468085,24.051848,0.0,0.0,159.47942
2.1186440677966103,24.051848,0.0,0.0,160.47942
2.109704641350211,24.051848,0.0,0.0,161.47942
2.100840336134454,24.051848,0.0,0.0,162.47942
2.092050209205021,24.051848,0.0,0.0,163.47942
2.0833333333333335,24.051848,0.0,0.0,164.47942
2.074688796680498,24.051848,0.0,0.0,165.47942
2.0661157024793386,24.051848,0.0,0.0,166.47942
2.05761316872428,24.051848,0.0,0.0,167.47942
2.0491803278688523,24.051848,0.0,0.0,168.47942
2.0408163265306123,24.051848,0.0,0.0,169.47942
2.032520325203252,24.051848,0.0,0.0,170.47942
2.0242914979757085,24.051848,0.0,0.0,171.47942
2.0161290322580645,24.051848,0.0,0.0,172.47942
2.0080321285140563,24.051848,0.0,0.0,173.47942
