,Lactate_output,Glucose_input,Biomass
3.7313432835820897,0.0,134.0,187.02982
3.7037037037037037,0.0,135.0,187.02982
3.676470588235294,0.0,136.0,187.02982
3.6496350364963503,0.0,137.0,187.02982
3.6231884057971016,0.0,138.0,187.02982
3.597122302158273,0.0,139.0,187.02982
3.5714285714285716,0.0,140.0,187.02982
3.5460992907801416,0.0,141.0,187.02982
3.5211267605633805,0.0,142.0,187.02982
3.4965034965034967,0.0,143.0,187.02982
3.4722222222222223,0.0,144.0,187.02982
3.4482758620689653,0.0,145.0,187.02982
3.4246575342465753,0.0,146.0,187.02982
3.401360544217687,0.0,147.0,187.02982
3.3783783783783785,0.0,148.0,187.02982
3.3557046979865772,0.0,149.0,187.02982
3.3333333333333335,0.0,150.0,187.02982
3.3112582781456954,0.0,151.0,187.02982
3.289473684210526,0.0,152.0,187.02982
3.2679738562091503,0.0,153.0,187.02982
3.2467532467532467,0.0,154.0,187.02982
3.225806451612903,0.0,155.0,187.02982
3.2051282051282053,0.0,156.0,187.02982
3.1847133757961785,0.0,157.0,187.02982
3.1645569620253164,0.0,158.0,187.02982
3.1446540880503147,0.0,159.0,187.02982
3.125,0.0,160.0,187.02982
3.1055900621118013,0.0,161.0,187.02982
3.0864197530864197,0.0,162.0,187.02982
3.067484662576687,0.0,163.0,187.02982
3.048780487804878,0.0,164.0,187.02982
3.0303030303030303,0.0,165.0,187.02982
3.0120481927710845,0.0,166.0,187.02982
2.9940119760479043,0.0,167.0,187.02982
2.9761904761904763,0.0,168.0,187.02982
2.9585798816568047,0.0,169.0,187.02982
2.9411764705882355,0.0,170.0,187.02982
2.9239766081871346,0.0,171.0,187.02982
2.9069767441860463,0.0,172.0,187.02982
2.8901734104046244,0.0,173.0,187.02982
2.8735632183908044,0.0,174.0,187.02982
2.857142857142857,0.0,175.0,187.02982
2.840909090909091,0.0,176.0,187.02982
2.824858757062147,0.0,177.0,187.02982
2.808988764044944,0.0,178.0,187.02982
2.793296089385475,0.0,179.0,187.02982
2.7777777777777777,0.0,180.0,187.02982
2.7624309392265194,0.0,181.0,187.02982
2.7472527472527473,0.0,182.0,187.02982
2.73224043715847,0.0,183.0,187.02982
2.717391304347826,0.0,184.0,187.02982
2.7027027027027026,0.0,185.0,187.02982
2.6881720430107525,0.0,186.0,187.02982
2.6737967914438503,0.0,187.0,187.02982
2.6595744680851063,0.0,188.0,187.02982
2.6455026455026456,0.0,189.0,187.02982
2.6315789473684212,0.0,190.0,187.02982
2.6178010471204187,0.0,191.0,187.02982
2.6041666666666665,0.0,192.0,187.02982
2.5906735751295336,0.0,193.0,187.02982
2.577319587628866,0.0,194.0,187.02982
2.5641025641025643,0.0,195.0,187.02982
2.5510204081632653,0.0,196.0,187.02982
2.5380710659898478,0.0,197.0,187.02982
2.525252525252525,0.0,198.0,187.02982
2.512562814070352,0.0,199.0,187.02982
2.5,0.0,200.0,187.02982
2.487562189054726,0.0,201.0,187.02982
2.4752475247524752,0.0,202.0,187.02982
2.4630541871921183,0.0,203.0,187.02982
2.450980392156863,0.0,204.0,187.02982
2.4390243902439024,0.0,205.0,187.02982
2.4271844660194173,0.0,206.0,187.02982
2.4154589371980677,0.0,207.0,187.02982
2.4038461538461537,0.0,208.0,187.02982
