,0,1
41,ATP:alpha-D-glucose_6-phosphotransferase,alpha-D-Glucose-6-phosphate
42,beta-D-Fructose_6-phosphate:D-glyceraldehyde-3-phosphate_glycolaldehyde_transferase,D-Erythrose-4-phosphate
43,beta-D-Fructose_6-phosphate:D-glyceraldehyde-3-phosphate_glycolaldehyde_transferase,D-Xylulose-5-phosphate
44,Isocitrate:NADP+_oxidoreductase,Oxalosuccinate
45,Isocitrate:NADP+_oxidoreductase,NADPH
46,Isocitrate:NADP+_oxidoreductase,H+
47,isocitrate_hydro-lyase,cis-Aconitate
48,isocitrate_hydro-lyase,H2O
49,alpha-D-Glucose_6-phosphate_ketol-isomerase,beta-D-Fructose-6-phosphate
50,ATP:D-fructose-6-phosphate_1-phosphotransferase,ADP
51,ATP:D-fructose-6-phosphate_1-phosphotransferase,beta-D-Fructose-1_6-bisphosphate
52,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate_glyceronetransferase,D-Erythrose-4-phosphate
53,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate_glyceronetransferase,D-Fructose-6-phosphate
