,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Acetate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
12,33.401993,-54.444581,37.555531,-58.666592,12.0,-37.555531,0.0,113.11117,0.0,-73.604921,4.2954629,-2.8636419,145.77802,73.604921,-12.0,-37.555531,0.0,37.555531,-145.77802,-113.11117,0.0,-2.8636419,1.431821,84.228637,1.431821,37.555531,-37.555531,0.0,0.0,75.036742,73.604921,84.228637,172.33379,176.77826,0.0,0.0,12.0,0.0,0.0,-1.5555642,142.22271,192.56222,4.2954629,0.0,-1.431821,12.0,172.33379
13,36.185492,-58.981629,40.685158,-63.555475,13.0,-40.685158,0.0,122.5371,0.0,-79.738665,4.6534181,-3.1022788,157.92619,79.738665,-13.0,-40.685158,0.0,40.685158,-157.92619,-122.5371,0.0,-3.1022788,1.5511394,91.24769,1.5511394,40.685158,-40.685158,0.0,0.0,81.289804,79.738665,91.24769,186.69494,191.50978,0.0,0.0,13.0,0.0,0.0,-1.6851946,154.07461,208.60907,4.6534181,0.0,-1.5511394,13.0,186.69494
14,38.968992,-63.518677,43.814786,-68.444358,14.0,-43.814786,0.0,131.96304,0.0,-85.872408,5.0113734,-3.3409156,170.07436,85.872408,-14.0,-43.814786,0.0,43.814786,-170.07436,-131.96304,0.0,-3.3409156,1.6704578,98.266743,1.6704578,43.814786,-43.814786,0.0,0.0,87.542866,85.872408,98.266743,201.05609,206.2413,0.0,0.0,14.0,0.0,0.0,-1.8148249,165.9265,224.65592,5.0113734,0.0,-1.6704578,14.0,201.05609
15,39.917735,-64.405955,44.22235,-69.451556,14.340845,-44.22235,0.0,133.85751,0.0,-87.303912,5.1333808,-3.4222538,172.8967,87.303912,-14.340845,-44.22235,0.0,44.22235,-172.8967,-133.85751,0.0,-3.4222538,1.7111269,100.0,1.7111269,44.22235,-44.22235,0.0,0.0,89.015039,87.303912,100.0,205.29187,209.94417,0.0,0.0,15.0,0.65915461,0.0,-1.8590088,169.30701,225.51133,5.1333808,0.0,-1.7111269,15.0,205.29187
16,40.264845,-64.096441,43.737327,-69.185918,14.465548,-43.737327,0.0,133.28236,0.0,-87.193511,5.1780189,-3.4520126,172.66102,87.193511,-14.465548,-43.737327,0.0,43.737327,-172.66102,-133.28236,0.0,-3.4520126,1.7260063,100.0,1.7260063,43.737327,-43.737327,0.0,0.0,88.919517,87.193511,100.0,206.20745,210.03064,0.0,0.0,16.0,1.5344516,0.0,-1.8751741,169.90968,221.38534,5.1780189,0.0,-1.7260063,16.0,206.20745
17,40.611956,-63.786928,43.252304,-68.920279,14.590251,-43.252304,0.0,132.70721,0.0,-87.08311,5.222657,-3.4817713,172.42533,87.08311,-14.590251,-43.252304,0.0,43.252304,-172.42533,-132.70721,0.0,-3.4817713,1.7408857,100.0,1.7408857,43.252304,-43.252304,0.0,0.0,88.823996,87.08311,100.0,207.12303,210.11711,0.0,0.0,17.0,2.4097486,0.0,-1.8913394,170.51235,217.25936,5.222657,0.0,-1.7408857,17.0,207.12303
18,40.959067,-63.477414,42.767281,-68.65464,14.714954,-42.767281,0.0,132.13205,0.0,-86.972709,5.2672951,-3.51153,172.18965,86.972709,-14.714954,-42.767281,0.0,42.767281,-172.18965,-132.13205,0.0,-3.51153,1.755765,100.0,1.755765,42.767281,-42.767281,0.0,0.0,88.728474,86.972709,100.0,208.03861,210.20358,0.0,0.0,18.0,3.2850456,0.0,-1.9075047,171.11502,213.13337,5.2672951,0.0,-1.755765,18.0,208.03861
19,41.306178,-63.167901,42.282258,-68.389002,14.839657,-42.282258,0.0,131.5569,0.0,-86.862309,5.3119331,-3.5412888,171.95397,86.862309,-14.839657,-42.282258,0.0,42.282258,-171.95397,-131.5569,0.0,-3.5412888,1.7706444,100.0,1.7706444,42.282258,-42.282258,0.0,0.0,88.632953,86.862309,100.0,208.95419,210.29005,0.0,0.0,19.0,4.1603426,0.0,-1.92367,171.71769,209.00738,5.3119331,0.0,-1.7706444,19.0,208.95419
20,41.653288,-62.858387,41.797235,-68.123363,14.96436,-41.797235,0.0,130.98175,0.0,-86.751908,5.3565712,-3.5710475,171.71829,86.751908,-14.96436,-41.797235,0.0,41.797235,-171.71829,-130.98175,0.0,-3.5710475,1.7855237,100.0,1.7855237,41.797235,-41.797235,0.0,0.0,88.537432,86.751908,100.0,209.86977,210.37652,0.0,0.0,20.0,5.0356396,0.0,-1.9398353,172.32036,204.88139,5.3565712,0.0,-1.7855237,20.0,209.86977
21,42.000399,-62.548874,41.312212,-67.857725,15.089063,-41.312212,0.0,130.4066,0.0,-86.641507,5.4012093,-3.6008062,171.48261,86.641507,-15.089063,-41.312212,0.0,41.312212,-171.48261,-130.4066,0.0,-3.6008062,1.8004031,100.0,1.8004031,41.312212,-41.312212,0.0,0.0,88.44191,86.641507,100.0,210.78536,210.46299,0.0,0.0,21.0,5.9109366,0.0,-1.9560006,172.92303,200.7554,5.4012093,0.0,-1.8004031,21.0,210.78536
