,Glucose,Lac,Glutamate,Ammonia
70,1.0,0.0,0.7,0.7984629200000001
71,1.0,0.0,0.71,0.79678344
72,1.0,0.0,0.72,0.79510397
73,1.0,0.0,0.73,0.79342449
74,1.0,0.0,0.74,0.79174502
75,1.0,0.0,0.75,0.79006554
76,1.0,0.0,0.76,0.7883860699999999
77,1.0,0.0,0.77,0.78670659
78,1.0,0.0,0.78,0.78502711
79,1.0,0.0,0.79,0.7833476400000001
80,1.0,0.0,0.8,0.78166816
81,1.0,0.0,0.81,0.77998869
82,1.0,0.0,0.82,0.7783092100000001
83,1.0,0.0,0.83,0.7766297400000001
84,1.0,0.0,0.84,0.77495026
85,1.0,0.0,0.85,0.77327078
86,1.0,0.0,0.86,0.77159131
87,1.0,0.0,0.87,0.7699118300000001
88,1.0,0.0,0.88,0.76823236
89,1.0,0.0,0.89,0.76655288
90,1.0,0.0,0.9,0.76487341
91,1.0,0.0,0.91,0.76319393
92,1.0,0.0,0.92,0.76151445
93,1.0,0.0,0.93,0.7598349799999999
94,1.0,0.0,0.94,0.7581555
95,1.0,0.0,0.95,0.75682914
96,1.0,0.0,0.96,0.75558211
97,1.0,0.0,0.97,0.75433508
98,1.0,0.0,0.98,0.7530880500000001
99,1.0,0.0,0.99,0.75184102
100,1.0,0.0,1.0,0.75059399
101,1.0,0.0,1.01,0.74934696
102,1.0,0.0,1.02,0.7480999300000001
103,1.0,0.0,1.03,0.7468528999999999
104,1.0,0.0,1.04,0.74560587
105,1.0,0.0,1.05,0.74435884
106,1.0,0.0,1.06,0.74311181
107,1.0,0.0,1.07,0.7418647799999999
108,1.0,0.0,1.08,0.74061775
109,1.0,0.0,1.09,0.73937072
110,1.0,0.0,1.1,0.73812369
111,1.0,0.0,1.11,0.73687666
112,1.0,0.0,1.12,0.7356296299999999
113,1.0,0.0,1.13,0.7343826
114,1.0,0.0,1.14,0.7331355700000001
115,1.0,0.0,1.15,0.73188854
116,1.0,0.0,1.16,0.73064151
117,1.0,0.0,1.17,0.72939448
118,1.0,0.0,1.18,0.72814745
119,1.0,0.0,1.19,0.7269004200000001
120,1.0,0.0,1.2,0.72565339
121,1.0,0.0,1.21,0.72440636
122,1.0,0.0,1.22,0.72315933
123,1.0,0.0,1.23,0.7219123000000001
124,1.0,0.0,1.24,0.7206652699999999
125,1.0,0.0,1.25,0.71941824
126,1.0,0.0,1.26,0.71817121
127,1.0,0.0,1.27,0.71692418
128,1.0,0.0,1.28,0.7156771500000001
129,1.0,0.0,1.29,0.71443012
130,1.0,0.0,1.3,0.71318309
131,1.0,0.0,1.31,0.71193606
132,1.0,0.0,1.32,0.71068903
133,1.0,0.0,1.33,0.7094419999999999
134,1.0,0.0,1.34,0.70819497
135,1.0,0.0,1.35,0.70694794
136,1.0,0.0,1.36,0.70570091
137,1.0,0.0,1.37,0.70445388
