,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
24,5.9479016,-186.38525,0.0,-3.7592522,2.1368431,0.0,0.0,190.14451,-183.37782,-98.108232,0.7648942,-0.50992946,195.9615,98.108232,-2.1368431,-0.0,0.0,0.0,-195.9615,-190.14451,0.0,-0.50992946,0.25496473,100.0,0.25496473,0.0,0.0,0.0,0.0,98.363197,98.108232,100.0,24.0,18.103905,183.37782,8.8243663,6.6875231,0.0,-0.27699972,18.638112,170.85476,0.7648942,0.0,-0.25496473,8.8243663,24.0
25,6.1957308,-185.81797,0.0,-3.9158877,2.2258783,0.0,0.0,189.73386,-182.68522,-98.029409,0.79676479,-0.53117653,195.79323,98.029409,-2.2258783,-0.0,0.0,0.0,-195.79323,-189.73386,0.0,-0.53117653,0.26558826,100.0,0.26558826,0.0,0.0,0.0,0.0,98.294997,98.029409,100.0,25.0,18.858234,182.68522,9.1920482,6.9661699,0.0,-0.28854138,19.4147,169.64037,0.79676479,0.0,-0.26558826,9.1920482,25.0
26,6.4435601,-185.25069,0.0,-4.0725233,2.3149134,0.0,0.0,189.32321,-181.99263,-97.950585,0.82863538,-0.55242359,195.62496,97.950585,-2.3149134,-0.0,0.0,0.0,-195.62496,-189.32321,0.0,-0.55242359,0.27621179,100.0,0.27621179,0.0,0.0,0.0,0.0,98.226797,97.950585,100.0,26.0,19.612563,181.99263,9.5597301,7.2448167,0.0,-0.30008304,20.191288,168.42599,0.82863538,0.0,-0.27621179,9.5597301,26.0
27,6.6913893,-184.68341,0.0,-4.2291588,2.4039485,0.0,0.0,188.91257,-181.30004,-97.871761,0.86050597,-0.57367065,195.45669,97.871761,-2.4039485,-0.0,0.0,0.0,-195.45669,-188.91257,0.0,-0.57367065,0.28683532,100.0,0.28683532,0.0,0.0,0.0,0.0,98.158597,97.871761,100.0,27.0,20.366893,181.30004,9.9274121,7.5234635,0.0,-0.31162469,20.967876,167.2116,0.86050597,0.0,-0.28683532,9.9274121,27.0
28,6.9392185,-184.11613,0.0,-4.3857943,2.4929836,0.0,0.0,188.50192,-180.60745,-97.792938,0.89237656,-0.59491771,195.28842,97.792938,-2.4929836,-0.0,0.0,0.0,-195.28842,-188.50192,0.0,-0.59491771,0.29745885,100.0,0.29745885,0.0,0.0,0.0,0.0,98.090396,97.792938,100.0,28.0,21.121222,180.60745,10.295094,7.8021103,0.0,-0.32316635,21.744465,165.99722,0.89237656,0.0,-0.29745885,10.295094,28.0
29,7.1870478,-183.54885,0.0,-4.5424298,2.5820188,0.0,0.0,188.09128,-179.91486,-97.714114,0.92424715,-0.61616477,195.12015,97.714114,-2.5820188,-0.0,0.0,0.0,-195.12015,-188.09128,0.0,-0.61616477,0.30808238,100.0,0.30808238,0.0,0.0,0.0,0.0,98.022196,97.714114,100.0,29.0,21.875551,179.91486,10.662776,8.0807571,0.0,-0.334708,22.521053,164.78283,0.92424715,0.0,-0.30808238,10.662776,29.0
30,7.434877,-182.98157,0.0,-4.6990653,2.6710539,0.0,0.0,187.68063,-179.22227,-97.63529,0.95611775,-0.63741183,194.95187,97.63529,-2.6710539,-0.0,0.0,0.0,-194.95187,-187.68063,0.0,-0.63741183,0.31870592,100.0,0.31870592,0.0,0.0,0.0,0.0,97.953996,97.63529,100.0,30.0,22.629881,179.22227,11.030458,8.3594039,0.0,-0.34624966,23.297641,163.56845,0.95611775,0.0,-0.31870592,11.030458,30.0
31,7.6827062,-182.41429,0.0,-4.8557008,2.760089,0.0,0.0,187.26999,-178.52968,-97.556467,0.98798834,-0.65865889,194.7836,97.556467,-2.760089,-0.0,0.0,0.0,-194.7836,-187.26999,0.0,-0.65865889,0.32932945,100.0,0.32932945,0.0,0.0,0.0,0.0,97.885796,97.556467,100.0,31.0,23.38421,178.52968,11.39814,8.6380507,0.0,-0.35779131,24.074229,162.35406,0.98798834,0.0,-0.32932945,11.39814,31.0
32,7.9305354,-181.847,0.0,-5.0123363,2.8491242,0.0,0.0,186.85934,-177.83709,-97.477643,1.0198589,-0.67990595,194.61533,97.477643,-2.8491242,-0.0,0.0,0.0,-194.61533,-186.85934,0.0,-0.67990595,0.33995298,100.0,0.33995298,0.0,0.0,0.0,0.0,97.817596,97.477643,100.0,32.0,24.13854,177.83709,11.765822,8.9166975,0.0,-0.36933297,24.850817,161.13968,1.0198589,0.0,-0.33995298,11.765822,32.0
33,8.1783647,-181.27972,0.0,-5.1689718,2.9381593,0.0,0.0,186.4487,-177.1445,-97.398819,1.0517295,-0.70115301,194.44706,97.398819,-2.9381593,-0.0,0.0,0.0,-194.44706,-186.4487,0.0,-0.70115301,0.35057651,100.0,0.35057651,0.0,0.0,0.0,0.0,97.749396,97.398819,100.0,33.0,24.892869,177.1445,12.133504,9.1953443,0.0,-0.38087462,25.627405,159.92529,1.0517295,0.0,-0.35057651,12.133504,33.0
34,8.4261939,-180.71244,0.0,-5.3256073,3.0271944,0.0,0.0,186.03805,-176.45191,-97.319996,1.0836001,-0.72240007,194.27879,97.319996,-3.0271944,-0.0,0.0,0.0,-194.27879,-186.03805,0.0,-0.72240007,0.36120004,100.0,0.36120004,0.0,0.0,0.0,0.0,97.681196,97.319996,100.0,34.0,25.647198,176.45191,12.501186,9.4739911,0.0,-0.39241628,26.403993,158.71091,1.0836001,0.0,-0.36120004,12.501186,34.0
35,8.6740231,-180.14516,0.0,-5.4822428,3.1162296,0.0,0.0,185.6274,-175.75931,-97.241172,1.1154707,-0.74364714,194.11052,97.241172,-3.1162296,-0.0,0.0,0.0,-194.11052,-185.6274,0.0,-0.74364714,0.37182357,100.0,0.37182357,0.0,0.0,0.0,0.0,97.612996,97.241172,100.0,35.0,26.401528,175.75931,12.868867,9.7526379,0.0,-0.40395793,27.180581,157.49652,1.1154707,0.0,-0.37182357,12.868867,35.0
36,8.9218524,-179.57788,0.0,-5.6388784,3.2052647,0.0,0.0,185.21676,-175.06672,-97.162348,1.1473413,-0.7648942,193.94225,97.162348,-3.2052647,-0.0,0.0,0.0,-193.94225,-185.21676,0.0,-0.7648942,0.3824471,100.0,0.3824471,0.0,0.0,0.0,0.0,97.544795,97.162348,100.0,36.0,27.155857,175.06672,13.236549,10.031285,0.0,-0.41549959,27.957169,156.28214,1.1473413,0.0,-0.3824471,13.236549,36.0
37,9.1696816,-179.0106,0.0,-5.7955139,3.2942998,0.0,0.0,184.80611,-174.37413,-97.083525,1.1792119,-0.78614126,193.77398,97.083525,-3.2942998,-0.0,0.0,0.0,-193.77398,-184.80611,0.0,-0.78614126,0.39307063,100.0,0.39307063,0.0,0.0,0.0,0.0,97.476595,97.083525,100.0,37.0,27.910186,174.37413,13.604231,10.309932,0.0,-0.42704124,28.733757,155.06775,1.1792119,0.0,-0.39307063,13.604231,37.0
38,9.4175108,-178.44332,0.0,-5.9521494,3.3833349,0.0,0.0,184.39547,-173.68154,-97.004701,1.2110825,-0.80738832,193.60571,97.004701,-3.3833349,-0.0,0.0,0.0,-193.60571,-184.39547,0.0,-0.80738832,0.40369416,100.0,0.40369416,0.0,0.0,0.0,0.0,97.408395,97.004701,100.0,38.0,28.664516,173.68154,13.971913,10.588578,0.0,-0.4385829,29.510345,153.85337,1.2110825,0.0,-0.40369416,13.971913,38.0
39,9.6653401,-177.87604,0.0,-6.1087849,3.4723701,0.0,0.0,183.98482,-172.98895,-96.925877,1.2429531,-0.82863538,193.43744,96.925877,-3.4723701,-0.0,0.0,0.0,-193.43744,-183.98482,0.0,-0.82863538,0.41431769,100.0,0.41431769,0.0,0.0,0.0,0.0,97.340195,96.925877,100.0,39.0,29.418845,172.98895,14.339595,10.867225,0.0,-0.45012455,30.286933,152.63898,1.2429531,0.0,-0.41431769,14.339595,39.0
40,9.9131693,-177.30876,0.0,-6.2654204,3.5614052,0.0,0.0,183.57418,-172.29636,-96.847054,1.2748237,-0.84988244,193.26917,96.847054,-3.5614052,-0.0,0.0,0.0,-193.26917,-183.57418,0.0,-0.84988244,0.42494122,100.0,0.42494122,0.0,0.0,0.0,0.0,97.271995,96.847054,100.0,40.0,30.173174,172.29636,14.707277,11.145872,0.0,-0.46166621,31.063521,151.4246,1.2748237,0.0,-0.42494122,14.707277,40.0
41,10.160999,-176.74147,0.0,-6.4220559,3.6504403,0.0,0.0,183.16353,-171.60377,-96.76823,1.3066943,-0.8711295,193.1009,96.76823,-3.6504403,-0.0,0.0,0.0,-193.1009,-183.16353,0.0,-0.8711295,0.43556475,100.0,0.43556475,0.0,0.0,0.0,0.0,97.203795,96.76823,100.0,41.0,30.927504,171.60377,15.074959,11.424519,0.0,-0.47320786,31.840109,150.21021,1.3066943,0.0,-0.43556475,15.074959,41.0
42,10.408828,-176.17419,0.0,-6.5786914,3.7394755,0.0,0.0,182.75288,-170.91118,-96.689406,1.3385648,-0.89237656,192.93262,96.689406,-3.7394755,-0.0,0.0,0.0,-192.93262,-182.75288,0.0,-0.89237656,0.44618828,100.0,0.44618828,0.0,0.0,0.0,0.0,97.135595,96.689406,100.0,42.0,31.681833,170.91118,15.442641,11.703166,0.0,-0.48474952,32.616697,148.99583,1.3385648,0.0,-0.44618828,15.442641,42.0
43,10.656657,-175.60691,0.0,-6.7353269,3.8285106,0.0,0.0,182.34224,-170.21859,-96.610583,1.3704354,-0.91362362,192.76435,96.610583,-3.8285106,-0.0,0.0,0.0,-192.76435,-182.34224,0.0,-0.91362362,0.45681181,100.0,0.45681181,0.0,0.0,0.0,0.0,97.067395,96.610583,100.0,43.0,32.436162,170.21859,15.810323,11.981812,0.0,-0.49629117,33.393285,147.78144,1.3704354,0.0,-0.45681181,15.810323,43.0
44,10.904486,-175.03963,0.0,-6.8919624,3.9175457,0.0,0.0,181.93159,-169.526,-96.531759,1.402306,-0.93487068,192.59608,96.531759,-3.9175457,-0.0,0.0,0.0,-192.59608,-181.93159,0.0,-0.93487068,0.46743534,100.0,0.46743534,0.0,0.0,0.0,0.0,96.999194,96.531759,100.0,44.0,33.190492,169.526,16.178005,12.260459,0.0,-0.50783283,34.169873,146.56706,1.402306,0.0,-0.46743534,16.178005,44.0
45,11.152315,-174.47235,0.0,-7.0485979,4.0065809,0.0,0.0,181.52095,-168.8334,-96.452935,1.4341766,-0.95611775,192.42781,96.452935,-4.0065809,-0.0,0.0,0.0,-192.42781,-181.52095,0.0,-0.95611775,0.47805887,100.0,0.47805887,0.0,0.0,0.0,0.0,96.930994,96.452935,100.0,45.0,33.944821,168.8334,16.545687,12.539106,0.0,-0.51937448,34.946461,145.35267,1.4341766,0.0,-0.47805887,16.545687,45.0
46,11.400145,-173.90507,0.0,-7.2052335,4.095616,0.0,0.0,181.1103,-168.14081,-96.374112,1.4660472,-0.97736481,192.25954,96.374112,-4.095616,-0.0,0.0,0.0,-192.25954,-181.1103,0.0,-0.97736481,0.4886824,100.0,0.4886824,0.0,0.0,0.0,0.0,96.862794,96.374112,100.0,46.0,34.699151,168.14081,16.913369,12.817753,0.0,-0.53091614,35.723049,144.13829,1.4660472,0.0,-0.4886824,16.913369,46.0
47,11.647974,-173.33779,0.0,-7.361869,4.1846511,0.0,0.0,180.69966,-167.44822,-96.295288,1.4979178,-0.99861187,192.09127,96.295288,-4.1846511,-0.0,0.0,0.0,-192.09127,-180.69966,0.0,-0.99861187,0.49930593,100.0,0.49930593,0.0,0.0,0.0,0.0,96.794594,96.295288,100.0,47.0,35.45348,167.44822,17.281051,13.096399,0.0,-0.54245779,36.499637,142.9239,1.4979178,0.0,-0.49930593,17.281051,47.0
48,11.895803,-172.77051,0.0,-7.5185045,4.2736862,0.0,0.0,180.28901,-166.75563,-96.216464,1.5297884,-1.0198589,191.923,96.216464,-4.2736862,-0.0,0.0,0.0,-191.923,-180.28901,0.0,-1.0198589,0.50992946,100.0,0.50992946,0.0,0.0,0.0,0.0,96.726394,96.216464,100.0,48.0,36.207809,166.75563,17.648733,13.375046,0.0,-0.55399945,37.276225,141.70952,1.5297884,0.0,-0.50992946,17.648733,48.0
49,12.143632,-172.20323,0.0,-7.67514,4.3627214,0.0,0.0,179.87837,-166.06304,-96.137641,1.561659,-1.041106,191.75473,96.137641,-4.3627214,-0.0,0.0,0.0,-191.75473,-179.87837,0.0,-1.041106,0.52055299,100.0,0.52055299,0.0,0.0,0.0,0.0,96.658194,96.137641,100.0,49.0,36.962139,166.06304,18.016414,13.653693,0.0,-0.5655411,38.052813,140.49513,1.561659,0.0,-0.52055299,18.016414,49.0
50,12.391462,-171.63594,0.0,-7.8317755,4.4517565,0.0,0.0,179.46772,-165.37045,-96.058817,1.5935296,-1.0623531,191.58646,96.058817,-4.4517565,-0.0,0.0,0.0,-191.58646,-179.46772,0.0,-1.0623531,0.53117653,100.0,0.53117653,0.0,0.0,0.0,0.0,96.589994,96.058817,100.0,50.0,37.716468,165.37045,18.384096,13.93234,0.0,-0.57708276,38.829401,139.28075,1.5935296,0.0,-0.53117653,18.384096,50.0
51,12.639291,-171.06866,0.0,-7.988411,4.5407916,0.0,0.0,179.05707,-164.67786,-95.979993,1.6254002,-1.0836001,191.41819,95.979993,-4.5407916,-0.0,0.0,0.0,-191.41819,-179.05707,0.0,-1.0836001,0.54180006,100.0,0.54180006,0.0,0.0,0.0,0.0,96.521794,95.979993,100.0,51.0,38.470797,164.67786,18.751778,14.210987,0.0,-0.58862442,39.605989,138.06636,1.6254002,0.0,-0.54180006,18.751778,51.0
52,12.88712,-170.50138,0.0,-8.1450465,4.6298268,0.0,0.0,178.64643,-163.98527,-95.90117,1.6572708,-1.1048472,191.24992,95.90117,-4.6298268,-0.0,0.0,0.0,-191.24992,-178.64643,0.0,-1.1048472,0.55242359,100.0,0.55242359,0.0,0.0,0.0,0.0,96.453593,95.90117,100.0,52.0,39.225127,163.98527,19.11946,14.489633,0.0,-0.60016607,40.382577,136.85198,1.6572708,0.0,-0.55242359,19.11946,52.0
53,13.134949,-169.9341,0.0,-8.301682,4.7188619,0.0,0.0,178.23578,-163.29268,-95.822346,1.6891413,-1.1260942,191.08165,95.822346,-4.7188619,-0.0,0.0,0.0,-191.08165,-178.23578,0.0,-1.1260942,0.56304712,100.0,0.56304712,0.0,0.0,0.0,0.0,96.385393,95.822346,100.0,53.0,39.979456,163.29268,19.487142,14.76828,0.0,-0.61170773,41.159165,135.63759,1.6891413,0.0,-0.56304712,19.487142,53.0
54,13.382779,-169.36682,0.0,-8.4583175,4.807897,0.0,0.0,177.82514,-162.60009,-95.743523,1.7210119,-1.1473413,190.91337,95.743523,-4.807897,-0.0,0.0,0.0,-190.91337,-177.82514,0.0,-1.1473413,0.57367065,100.0,0.57367065,0.0,0.0,0.0,0.0,96.317193,95.743523,100.0,54.0,40.733785,162.60009,19.854824,15.046927,0.0,-0.62324938,41.935753,134.42321,1.7210119,0.0,-0.57367065,19.854824,54.0
