,Lactate_output,Ammonia_output,Glucose_input,Glutamate_input
137,0.0,87.802187,22.628696,100.0
138,0.0,87.713152,23.158833,100.0
139,0.0,87.624117,23.688969,100.0
140,0.0,87.535082,24.219106,100.0
141,0.0,87.446047,24.749242,100.0
142,0.0,87.357012,25.279379,100.0
143,0.0,87.267976,25.809515,100.0
144,0.0,87.178941,26.339651,100.0
145,0.0,87.089906,26.869788,100.0
146,0.0,87.000871,27.399924,100.0
147,0.0,86.911836,27.930061,100.0
148,0.0,86.822801,28.460197,100.0
149,0.0,86.733766,28.990334,100.0
150,0.0,86.64473,29.52047,100.0
151,0.0,86.555695,30.050607,100.0
152,0.0,86.46666,30.580743,100.0
153,0.0,86.377625,31.11088,100.0
154,0.0,86.28859,31.641016,100.0
155,0.0,86.199555,32.171153,100.0
156,0.0,86.11052,32.701289,100.0
157,0.0,86.021485,33.231426,100.0
158,0.0,85.932449,33.761562,100.0
159,0.0,85.843414,34.291698,100.0
160,0.0,85.754379,34.821835,100.0
161,0.0,85.665344,35.351971,100.0
162,0.0,85.576309,35.882108,100.0
163,0.0,85.487274,36.412244,100.0
164,0.0,85.398239,36.942381,100.0
165,0.0,85.309204,37.472517,100.0
166,0.0,85.220168,38.002654,100.0
167,0.0,85.131133,38.53279,100.0
168,0.0,85.042098,39.062927,100.0
169,0.0,84.953063,39.593063,100.0
170,0.0,84.864028,40.1232,100.0
171,0.0,84.774993,40.653336,100.0
172,0.0,84.685958,41.183473,100.0
173,0.0,84.596922,41.713609,100.0
174,0.0,84.507887,42.243746,100.0
175,0.0,84.418852,42.773882,100.0
176,0.0,84.329817,43.304018,100.0
177,0.0,84.240782,43.834155,100.0
178,0.0,84.151747,44.364291,100.0
179,0.0,84.062712,44.894428,100.0
180,0.0,83.973677,45.424564,100.0
181,0.0,83.884641,45.954701,100.0
182,0.0,83.795606,46.484837,100.0
183,0.0,83.706571,47.014974,100.0
184,0.0,83.617536,47.54511,100.0
185,0.0,83.528501,48.075247,100.0
186,0.0,83.439466,48.605383,100.0
187,0.0,83.350431,49.13552,100.0
188,0.0,83.261396,49.665656,100.0
189,0.0,83.17236,50.195793,100.0
190,0.0,83.083325,50.725929,100.0
191,0.0,82.99429,51.256065,100.0
192,0.0,82.905255,51.786202,100.0
193,0.0,82.81622,52.316338,100.0
194,0.0,82.727185,52.846475,100.0
195,0.0,82.63815,53.376611,100.0
196,0.0,82.549114,53.906748,100.0
197,0.0,82.460079,54.436884,100.0
198,0.0,82.371044,54.967021,100.0
199,0.0,82.282009,55.497157,100.0
200,0.0,82.192974,56.027294,100.0
201,0.0,82.103939,56.55743,100.0
202,0.0,82.014904,57.087567,100.0
203,0.0,81.925869,57.617703,100.0
204,0.0,81.836833,58.14784,100.0
205,0.0,81.747798,58.677976,100.0
206,0.0,81.658763,59.208112,100.0
207,0.0,81.569728,59.738249,100.0
208,0.0,81.480693,60.268385,100.0
209,0.0,81.391658,60.798522,100.0
210,0.0,81.302623,61.328658,100.0
211,0.0,81.213588,61.858795,100.0
212,0.0,81.124552,62.388931,100.0
213,0.0,81.035517,62.919068,100.0
214,0.0,80.946482,63.449204,100.0
215,0.0,80.857447,63.979341,100.0
216,0.0,80.768412,64.509477,100.0
217,0.0,80.679377,65.039614,100.0
218,0.0,80.590342,65.56975,100.0
219,0.0,80.501306,66.099887,100.0
220,0.0,80.412271,66.630023,100.0
221,0.0,80.323236,67.16016,100.0
222,0.0,80.234201,67.690296,100.0
223,0.0,80.145166,68.220432,100.0
224,0.0,80.056131,68.750569,100.0
225,0.0,79.967096,69.280705,100.0
226,0.0,79.878061,69.810842,100.0
227,0.0,79.789025,70.340978,100.0
228,0.0,79.69999,70.871115,100.0
229,0.0,79.610955,71.401251,100.0
230,0.0,79.52192,71.931388,100.0
231,0.0,79.432885,72.461524,100.0
232,0.0,79.34385,72.991661,100.0
233,0.0,79.254815,73.521797,100.0
234,0.0,79.16578,74.051934,100.0
235,0.0,79.076744,74.58207,100.0
236,0.0,78.987709,75.112207,100.0
237,0.0,78.898674,75.642343,100.0
238,0.0,78.809639,76.172479,100.0
239,0.0,78.720604,76.702616,100.0
240,0.0,78.631569,77.232752,100.0
241,0.0,78.542534,77.762889,100.0
242,0.0,78.453498,78.293025,100.0
243,0.0,78.364463,78.823162,100.0
244,0.0,78.275428,79.353298,100.0
245,0.0,78.186393,79.883435,100.0
246,0.0,78.097358,80.413571,100.0
247,0.0,78.008323,80.943708,100.0
248,0.0,77.919288,81.473844,100.0
249,0.0,77.830253,82.003981,100.0
250,0.0,77.741217,82.534117,100.0
251,0.0,77.652182,83.064254,100.0
252,0.0,77.563147,83.59439,100.0
253,0.0,77.474112,84.124527,100.0
254,0.0,77.385077,84.654663,100.0
255,0.0,77.296042,85.184799,100.0
256,0.0,77.207007,85.714936,100.0
257,0.0,77.117972,86.245072,100.0
258,0.0,77.028936,86.775209,100.0
259,0.0,76.939901,87.305345,100.0
260,0.0,76.850866,87.835482,100.0
261,0.0,76.761831,88.365618,100.0
262,0.0,76.672796,88.895755,100.0
263,0.0,76.583761,89.425891,100.0
264,0.0,76.494726,89.956028,100.0
265,0.0,76.405691,90.486164,100.0
266,0.0,76.316655,91.016301,100.0
267,0.0,76.22762,91.546437,100.0
268,0.0,76.138585,92.076574,100.0
269,0.0,76.04955,92.60671,100.0
270,0.0,75.960515,93.136846,100.0
271,0.0,75.87148,93.666983,100.0
272,0.0,75.783062,94.19691,100.0
273,0.0,75.717963,94.718945,100.0
274,0.0,75.652863,95.24098,100.0
275,0.0,75.587764,95.763015,100.0
276,0.0,75.522665,96.285049,100.0
277,0.0,75.457566,96.807084,100.0
278,0.0,75.392466,97.329119,100.0
279,0.0,75.327367,97.851153,100.0
280,0.0,75.262268,98.373188,100.0
281,0.0,75.197168,98.895223,100.0
282,0.0,75.132069,99.417257,100.0
283,0.0,75.06697,99.939292,100.0
284,0.0,75.00187,100.46133,100.0
285,0.0,74.936771,100.98336,100.0
286,0.0,74.871672,101.5054,100.0
287,0.0,74.806573,102.02743,100.0
288,0.0,74.741473,102.54947,100.0
289,0.0,74.676374,103.0715,100.0
290,0.0,74.611275,103.59354,100.0
291,0.0,74.546175,104.11557,100.0
292,0.0,74.481076,104.6376,100.0
293,0.0,74.415977,105.15964,100.0
294,0.0,74.350878,105.68167,100.0
295,0.0,74.285778,106.20371,100.0
296,0.0,74.220679,106.72574,100.0
297,0.0,74.15558,107.24778,100.0
298,0.0,74.09048,107.76981,100.0
299,0.0,74.025381,108.29185,100.0
300,0.0,73.960282,108.81388,100.0
301,0.0,73.895182,109.33592,100.0
302,0.0,73.830083,109.85795,100.0
303,0.0,73.764984,110.37999,100.0
304,0.0,73.699885,110.90202,100.0
305,0.0,73.634785,111.42406,100.0
